strain,stress,strain_rate,temperature
0.00592,0.435887398,50000000,600
0.00593,0.454807658,50000000,600
0.00594,0.453470467,50000000,600
0.00595,0.447781852,50000000,600
0.00596,0.435683702,50000000,600
0.00597,0.421504231,50000000,600
0.00598,0.426180514,50000000,600
0.00599,0.409364402,50000000,600
0.006,0.415733189,50000000,600
0.00601,0.409746769,50000000,600
0.00602,0.396697052,50000000,600
0.00603,0.409317109,50000000,600
0.00604,0.41684238,50000000,600
0.00605,0.423104835,50000000,600
0.00606,0.422538891,50000000,600
0.00607,0.424133638,50000000,600
0.00608,0.445729041,50000000,600
0.00609,0.43847102,50000000,600
0.0061,0.43305738,50000000,600
0.00611,0.444986017,50000000,600
0.00612,0.441926524,50000000,600
0.00613,0.423657665,50000000,600
0.00614,0.399263556,50000000,600
0.00615,0.399057704,50000000,600
0.00616,0.411877089,50000000,600
0.00617,0.397851664,50000000,600
0.00618,0.423309691,50000000,600
0.00619,0.412919633,50000000,600
0.0062,0.412323673,50000000,600
0.00621,0.423372914,50000000,600
0.00622,0.433217649,50000000,600
0.00623,0.445546384,50000000,600
0.00624,0.445204969,50000000,600
0.00625,0.443579736,50000000,600
0.00626,0.436195571,50000000,600
0.00627,0.432593991,50000000,600
0.00628,0.430141876,50000000,600
0.00629,0.416188915,50000000,600
0.0063,0.392892034,50000000,600
0.00631,0.379324358,50000000,600
0.00632,0.422035311,50000000,600
0.00633,0.416513075,50000000,600
0.00634,0.424662731,50000000,600
0.00635,0.423917902,50000000,600
0.00636,0.423374812,50000000,600
0.00637,0.425344525,50000000,600
0.00638,0.42897972,50000000,600
0.00639,0.444550464,50000000,600
0.0064,0.448908652,50000000,600
0.00641,0.437010103,50000000,600
0.00642,0.436168769,50000000,600
0.00643,0.435838796,50000000,600
0.00644,0.434188436,50000000,600
0.00645,0.423476951,50000000,600
0.00646,0.441274618,50000000,600
0.00647,0.453677423,50000000,600
0.00648,0.433746926,50000000,600
0.00649,0.42556273,50000000,600
0.0065,0.426556082,50000000,600
0.00651,0.423642174,50000000,600
0.00652,0.433779117,50000000,600
0.00653,0.416624359,50000000,600
0.00654,0.417828055,50000000,600
0.00655,0.428719168,50000000,600
0.00656,0.422094247,50000000,600
0.00657,0.422168377,50000000,600
0.00658,0.419328522,50000000,600
0.00659,0.422792015,50000000,600
0.0066,0.434625447,50000000,600
0.00661,0.436765612,50000000,600
0.00662,0.432516738,50000000,600
0.00663,0.450889409,50000000,600
0.00664,0.428355127,50000000,600
0.00665,0.42344172,50000000,600
0.00666,0.44072992,50000000,600
0.00667,0.428913127,50000000,600
0.00668,0.436393888,50000000,600
0.00669,0.434056346,50000000,600
0.0067,0.433115923,50000000,600
0.00671,0.421785566,50000000,600
0.00672,0.444371051,50000000,600
0.00673,0.442384496,50000000,600
0.00674,0.424045929,50000000,600
0.00675,0.415953654,50000000,600
0.00676,0.431054974,50000000,600
0.00677,0.44405761,50000000,600
0.00678,0.429065366,50000000,600
0.00679,0.416270671,50000000,600
0.0068,0.420123579,50000000,600
0.00681,0.427980348,50000000,600
0.00682,0.446072981,50000000,600
0.00683,0.449229049,50000000,600
0.00684,0.44587895,50000000,600
0.00685,0.446761385,50000000,600
0.00686,0.440760642,50000000,600
0.00687,0.449845187,50000000,600
0.00688,0.454742576,50000000,600
0.00689,0.462371366,50000000,600
0.0069,0.446417478,50000000,600
0.00691,0.463236898,50000000,600
0.00692,0.452257548,50000000,600
0.00693,0.444483547,50000000,600
0.00694,0.445060235,50000000,600
0.00695,0.420126853,50000000,600
0.00696,0.440904033,50000000,600
0.00697,0.452859916,50000000,600
0.00698,0.448465922,50000000,600
0.00699,0.450406256,50000000,600
0.007,0.445264387,50000000,600
0.00701,0.448823602,50000000,600
0.00702,0.430832405,50000000,600
0.00703,0.436694787,50000000,600
0.00704,0.434673189,50000000,600
0.00705,0.406596781,50000000,600
0.00706,0.433179947,50000000,600
0.00707,0.447983434,50000000,600
0.00708,0.463822555,50000000,600
0.00709,0.45651214,50000000,600
0.0071,0.467029249,50000000,600
0.00711,0.464034092,50000000,600
0.00712,0.456749289,50000000,600
0.00713,0.467853487,50000000,600
0.00714,0.447518108,50000000,600
0.00715,0.448379333,50000000,600
0.00716,0.454871811,50000000,600
0.00717,0.457704043,50000000,600
0.00718,0.453474807,50000000,600
0.00719,0.439745018,50000000,600
0.0072,0.434984691,50000000,600
0.00721,0.440468461,50000000,600
0.00722,0.427900758,50000000,600
0.00723,0.427950826,50000000,600
0.00724,0.439056027,50000000,600
0.00725,0.438087586,50000000,600
0.00726,0.437219178,50000000,600
0.00727,0.460206509,50000000,600
0.00728,0.458684464,50000000,600
0.00729,0.460452678,50000000,600
0.0073,0.45112779,50000000,600
0.00731,0.451551104,50000000,600
0.00732,0.458849674,50000000,600
