strain,stress,strain_rate,temperature
0.00518,0.469086877,50000000,450
0.00519,0.453313777,50000000,450
0.0052,0.465426695,50000000,450
0.00521,0.470728135,50000000,450
0.00522,0.482013056,50000000,450
0.00523,0.477851255,50000000,450
0.00524,0.462474375,50000000,450
0.00525,0.467848421,50000000,450
0.00526,0.460867099,50000000,450
0.00527,0.465841527,50000000,450
0.00528,0.463809035,50000000,450
0.00529,0.459782919,50000000,450
0.0053,0.461540288,50000000,450
0.00531,0.463264488,50000000,450
0.00532,0.469907825,50000000,450
0.00533,0.485587255,50000000,450
0.00534,0.4675938,50000000,450
0.00535,0.461969161,50000000,450
0.00536,0.463984621,50000000,450
0.00537,0.468348185,50000000,450
0.00538,0.478889598,50000000,450
0.00539,0.475905352,50000000,450
0.0054,0.479548307,50000000,450
0.00541,0.473672165,50000000,450
0.00542,0.458864476,50000000,450
0.00543,0.466527631,50000000,450
0.00544,0.467095858,50000000,450
0.00545,0.466743077,50000000,450
0.00546,0.483268931,50000000,450
0.00547,0.475755011,50000000,450
0.00548,0.4782968,50000000,450
0.00549,0.473043553,50000000,450
0.0055,0.468944656,50000000,450
0.00551,0.475222993,50000000,450
0.00552,0.480813608,50000000,450
0.00553,0.492491211,50000000,450
0.00554,0.48345752,50000000,450
0.00555,0.466288646,50000000,450
0.00556,0.485233518,50000000,450
0.00557,0.466211647,50000000,450
0.00558,0.460561751,50000000,450
0.00559,0.460307092,50000000,450
0.0056,0.469250568,50000000,450
0.00561,0.480190389,50000000,450
0.00562,0.451978165,50000000,450
0.00563,0.476777639,50000000,450
0.00564,0.474188633,50000000,450
0.00565,0.492399439,50000000,450
0.00566,0.491370517,50000000,450
0.00567,0.475816101,50000000,450
0.00568,0.478527262,50000000,450
0.00569,0.49756103,50000000,450
0.0057,0.493862757,50000000,450
0.00571,0.497863007,50000000,450
0.00572,0.473224837,50000000,450
0.00573,0.45990539,50000000,450
0.00574,0.453983465,50000000,450
0.00575,0.44672839,50000000,450
0.00576,0.460356671,50000000,450
0.00577,0.45731799,50000000,450
0.00578,0.47576134,50000000,450
0.00579,0.441943193,50000000,450
0.0058,0.478643585,50000000,450
0.00581,0.498730761,50000000,450
0.00582,0.485221355,50000000,450
0.00583,0.487739158,50000000,450
0.00584,0.483410009,50000000,450
0.00585,0.48476226,50000000,450
0.00586,0.474604395,50000000,450
0.00587,0.491314117,50000000,450
0.00588,0.493314731,50000000,450
0.00589,0.489493907,50000000,450
0.0059,0.468503642,50000000,450
0.00591,0.46567629,50000000,450
0.00592,0.481109084,50000000,450
0.00593,0.475703581,50000000,450
0.00594,0.470511191,50000000,450
0.00595,0.470465847,50000000,450
0.00596,0.464220547,50000000,450
0.00597,0.483159986,50000000,450
0.00598,0.4706317,50000000,450
0.00599,0.49317442,50000000,450
0.006,0.482067835,50000000,450
0.00601,0.500539833,50000000,450
0.00602,0.495632778,50000000,450
0.00603,0.515382305,50000000,450
